child_id,stroke_id,point_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc
634504f786788e3d894241ab,3,8,814.0,837.0,445.022339,Moved,0,-0.04399109,-0.283050537,-0.940628052,RedDefault,Roof,5.063291
634504f786788e3d894241ab,3,9,802.0,801.0,445.055664,Moved,0,-0.06211853,-0.324920654,-0.954879761,RedDefault,Wall,5.48523235
634504f786788e3d894241ab,3,10,797.0,797.000061,445.089,Moved,0,-0.06867981,-0.307556152,-0.950119,RedDefault,Wall,5.907173
634504f786788e3d894241ab,3,11,801.0,801.999939,445.122345,Moved,0,-0.09516907,-0.311935425,-0.930297852,RedDefault,Wall,6.329114
634504f786788e3d894241ab,3,12,830.0,812.000061,445.15567,Moved,0,-0.1027832,-0.276794434,-0.947219849,RedDefault,Wall,6.751055
634504f786788e3d894241ab,3,13,790.0,780.999939,445.189,Moved,0,-0.112167358,-0.237182617,-0.940078735,RedDefault,Wall,6.751055
634504f786788e3d894241ab,3,14,775.0,773.000061,445.222321,Moved,0,-0.0587615967,-0.270370483,-0.941955566,RedDefault,Wall,6.751055
634504f786788e3d894241ab,3,15,786.0,756.0,445.255646,Canceled,0,0.0570373535,-0.312255859,-0.9442749,RedDefault,Wall,7.17299557
634504f786788e3d894241ab,4,0,685.0,1225.0,444.755676,Began,1,-0.0453948975,-0.23878479,-1.0426178,RedDefault,Outside,1.68776369
634504f786788e3d894241ab,4,1,733.0,1205.0,444.789032,Canceled,1,-0.06593323,-0.318954468,-0.931625366,RedDefault,Roof,2.10970473
634504f786788e3d894241ab,5,0,1099.0,34.99997,457.22403,Began,0,-0.302780151,0.04309082,-0.6564026,RedDefault,Super outside,36.7088623
634504f786788e3d894241ab,5,1,1099.0,34.99997,457.2574,Ended,0,0.0148468018,0.176620483,-0.854019165,RedDefault,Super outside,36.7088623
634504f786788e3d894241ab,6,0,1161.0,22.99997,457.457367,Began,0,-0.426193237,-0.0274353027,-0.613266,RedDefault,Super outside,36.7088623
634504f786788e3d894241ab,6,1,1161.0,22.99997,457.4907,Ended,0,-0.05831909,0.472244263,-2.37342834,RedDefault,Super outside,36.7088623
634504f786788e3d894241ab,7,0,1976.0,680.0,458.290649,Began,0,-0.213470459,0.463287354,-0.9325104,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,1,1976.0,680.0,458.323975,Stationary,0,-0.104507446,0.406387329,-0.821289063,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,2,1976.0,680.0,458.35733,Stationary,0,-0.04345703,0.235427856,-0.846206665,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,3,1976.0,680.0,458.390656,Stationary,0,-0.04345703,0.235427856,-0.846206665,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,4,1963.0,720.0,458.423981,Moved,0,-0.18182373,0.4449768,-0.833618164,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,5,1962.0,742.0,458.4573,Moved,0,-0.147613525,0.4918213,-0.849029541,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,6,1958.0,753.0,458.490631,Moved,0,-0.147613525,0.4918213,-0.849029541,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,7,1952.0,765.0,458.524,Moved,0,-0.01576233,0.39213562,-0.9128418,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,8,1943.0,777.0,458.5573,Moved,0,-0.191802979,0.543197632,-0.981781,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,9,1927.0,792.0,458.590637,Moved,0,-0.0100708008,0.5119171,-0.930847168,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,10,1906.0,810.0,458.623962,Moved,0,0.0261077881,0.591629,-0.8003845,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,11,1879.0,830.000061,458.657318,Moved,0,-0.0544891357,0.504303,-0.794189453,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,12,1849.0,849.999939,458.690643,Moved,0,-0.0466918945,0.5411835,-0.9246521,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,13,1818.0,867.999939,458.723969,Moved,0,-0.109710693,0.557739258,-0.8277588,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,14,1774.0,881.000061,458.7573,Moved,0,-0.09413147,0.5186615,-0.8150177,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,15,1707.0,893.000061,458.790619,Moved,0,-0.07748413,0.541122437,-0.9494171,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,16,1620.0,897.999939,458.823975,Moved,0,-0.1631012,0.498687744,-0.7924957,RedDefault,Outside,36.7088623
634504f786788e3d894241ab,7,17,1572.0,897.999939,458.8573,Canceled,0,-0.139175415,0.488174438,-0.7600403,RedDefault,Super outside,37.1308022
634504f786788e3d894241ab,8,0,484.0,34.99997,458.590637,Began,1,-0.0100708008,0.5119171,-0.930847168,RedDefault,Super outside,36.7088623
634504f786788e3d894241ab,8,1,494.0,55.00003,458.623962,Moved,1,0.0261077881,0.591629,-0.8003845,RedDefault,Super outside,36.7088623
