feature,td_mean,td_std,asd_dd_mean,asd_dd_std,mean_diff,mean_diff_pct,t_statistic,t_pvalue,u_statistic,u_pvalue,cohen_d,abs_cohen_d,significant_t,significant_u,composite_score,final_score
curvature_mean_session_mean_max,0.5872052711522975,0.15341337642750624,0.6137150528721055,0.19522028970126953,-0.026509781719808,-4.514568077324433,-1.196354053674883,0.2326040485169887,8563.0,0.5303343611930309,-0.15099636590578452,0.15099636590578452,False,False,0.12141006825299033,0.23772125848030165
completion_rate_min,0.839689231926894,0.28278279864123046,0.9083017238803854,0.5194053417938813,-0.0686124919534914,-8.17117682884196,-1.2642824540819095,0.2072149520075681,8661.0,0.6352602874121338,-0.16407429930682335,0.16407429930682335,False,False,0.20691997892700342,0.23712762717719021
target_zone_coverage_trend,-0.01600240471389522,0.05109281805512037,-0.01855391380689843,0.09037595488264945,0.0025515090930032097,-15.944535453397712,0.26676713504239313,0.7898599163179763,8752.0,0.5178034534820819,0.03475659317513234,0.03475659317513234,False,False,0.25887499808486264,0.23622410065088714
multitouch_used_min,0.7909090909090909,0.40852059217195386,0.7484662576687117,0.4352317146754879,0.04244283324037923,5.366335237289328,0.8099179167624665,0.4186979466365399,9345.5,0.41830485350558977,0.10055458401348116,0.10055458401348116,False,False,0.070497903937429,0.23587974873494424
tremor_ratio_session_max_max,0.271497113248323,0.19252973406887833,0.30851397983803275,0.2646916573387606,-0.03701686658970976,-13.634349974046515,-1.2588343546389358,0.20917347117753818,8599.0,0.5678423449135789,-0.15994120810640317,0.15994120810640317,False,False,0.12823904517421458,0.23209549332075197
outside_ratio_trend,0.015909450643351135,0.05114087804156324,0.01842923923486206,0.09034310198211726,-0.0025197885915109255,-15.838313012800311,-0.263482001338573,0.7923877890187213,7974.0,0.5242398998716664,-0.034326127598732104,0.034326127598732104,False,False,0.25199238989338213,0.23205619804600755
acceleration_std_session_max_trend,-9605.856502922585,86571.80904571374,11.848988243511121,112437.57901390146,-9617.705491166096,100.12335170986478,-0.7560456592014041,0.4502858508009001,9227.0,0.49872237775286987,-0.09584959945017411,0.09584959945017411,False,False,0.14327903479579238,0.23170683689294638
finger_switch_rate_trend,3.399498848666026e-05,0.0053425677354816984,0.0018510415018139922,0.012876078313089201,-0.001817046513327332,-5345.042296573645,-1.3989448256617956,0.16298576212220553,8603.5,0.7558835508464399,-0.18433336042533785,0.18433336042533785,False,False,0.2773761172065849,0.23018111407817865
zone_coverage_entropy_mean,1.0613486427468677,0.13347339431356944,1.0433307114735957,0.18828776075934991,0.018017931273272003,1.6976449158723137,0.8650627118979342,0.38777803774746455,9158.0,0.5706763663143151,0.11040508101062707,0.11040508101062707,False,False,0.18604298910476919,0.22877201924138707
pressure_mean_session_max_first_last_diff,-0.005642488817377206,0.048754419253731716,0.02572226188210096,0.2762483618564153,-0.03136475069947817,555.8673081085063,-1.1775991702929334,0.24000112549799016,8486.0,0.6190027578186905,-0.15812358380992816,0.15812358380992816,False,False,0.1623663386282767,0.2262585077668471
velocity_std_session_min_first_last_diff,0.11830105349705604,1.2407519165556287,15.59457285700393,177.10531624455135,-15.476271803506874,-13082.10818586836,-0.9159478156633962,0.36051770209462686,8652.0,0.57840567802017,-0.12357741066021603,0.12357741066021603,False,False,0.16522414018843928,0.22547650291456722
pressure_mean_session_std_trend,-0.0035337785158871967,0.022348437087628938,0.0027811940320592197,0.052109172675428445,-0.006314972547946416,178.70312243836165,-1.1953560216686347,0.23302061350495284,8288.0,0.6371029166581452,-0.15751003724685642,0.15751003724685642,False,False,0.17247514704845848,0.22361568401583654
path_efficiency_session_max_trend,-0.007409499311409895,0.07496035357608581,0.005836754848151371,0.07001804678864787,-0.013246254159561266,178.77394413362515,-1.4839478321379735,0.1389978802414783,9077.0,0.6486683505721302,-0.18262808704853162,0.18262808704853162,False,False,0.1410935816124374,0.2207788041315048
tremor_ratio_session_std_std,0.01718125393788795,0.015370682826679359,0.022534371070937077,0.02727456141606115,-0.005353117133049128,-31.156731356170003,-1.8509557382750208,0.0653056569927247,8236.0,0.7967688123367203,-0.24180949345501251,0.24180949345501251,False,False,0.20521749923547236,0.21925840345163064
velocity_mean_session_min_first_last_diff,1.8735939443699923,18.31356101167194,35.29587860828754,330.5682485493329,-33.422284663917544,-1783.859558489126,-1.0586731011463455,0.2907019361169158,8640.5,0.5950002780541741,-0.142765920597357,0.142765920597357,False,False,0.13448806991988524,0.21895270579865614
direction_changes_session_mean_first_last_diff,-1.339186731322946,16.433527288123987,0.7957986661859072,15.209327729036618,-2.1349853975088533,159.42402560991323,-1.0950757786239724,0.2744702785641908,8333.5,0.5123563748270046,-0.1348417773233326,0.1348417773233326,False,False,0.05938638219433406,0.2180457131395319
target_zone_coverage_first_last_diff,-0.0297362866373999,0.08674592052782915,-0.027564473283210485,0.1667905285440372,-0.0021718133541894155,7.30357956483337,-0.12484935338636058,0.9007392893826628,8723.0,0.5492871063942719,-0.016337291056447482,0.016337291056447482,False,False,0.2521405943590287,0.217390962812006
velocity_std_session_max_std,2023.806025237917,2281.8257308848356,2175.021646801541,2648.900328753312,-151.21562156362393,-7.4718436291762265,-0.48868100295886935,0.6254627740659733,8472.0,0.44146714289002587,-0.06116677965264999,0.06116677965264999,False,False,0.0764385940359873,0.2149581472048484
multitouch_used_trend,-0.031818181818181815,0.15558815205819523,-0.003749999999999995,0.18287965593104977,-0.02806818181818182,88.21428571428572,-1.3152193742627307,0.1895603511391545,9033.0,0.6589415759027135,-0.16531782136894788,0.16531782136894788,False,False,0.15482798695809946,0.21489305186419494
outside_ratio_first_last_diff,0.02957370321871344,0.08675175896523286,0.027362792950683702,0.16674289683012855,0.0022109102680297373,7.4759331006971514,0.1271258622953666,0.8989390434821058,8002.0,0.5548092299820058,0.016634895047943844,0.016634895047943844,False,False,0.24215379477469057,0.21285732745698296
num_points_std,351.4785147329733,241.96796680875292,359.7749591842924,290.2024593439411,-8.296444451319132,-2.3604414220374585,-0.2473426683892668,0.8048303247692574,9388.0,0.5090507274838975,-0.031052363823292083,0.031052363823292083,False,False,0.1683610592137945,0.21021404504828595
session_duration_std,14.499016015165484,10.515014980494545,15.934209211552442,12.452955808434877,-1.4351931963869582,-9.898555839139664,-0.9930802423971927,0.32155671811394676,8668.0,0.6430821740383305,-0.12453094434847294,0.12453094434847294,False,False,0.17761022807992516,0.21017079395186758
num_palm_touches_std,0.28727622567958033,0.5230274788056863,0.36446260602695496,0.7055281139495417,-0.07718638034737463,-26.86834950047906,-0.9798023159890217,0.32805758200909096,8606.0,0.5168898249496222,-0.12429000896717009,0.12429000896717009,False,False,0.04948949006389585,0.20949590312115013
num_palm_touches_first_last_diff,-0.09090909090909091,1.0275601685140376,-0.29375,1.4777037898598075,0.2028409090909091,-223.12500000000003,1.2469316725551411,0.21351120178914718,9072.5,0.5826127304783668,0.1593794530817635,0.1593794530817635,False,False,0.06556496602629888,0.20863745189708502
path_efficiency_session_min_first_last_diff,0.00038447421334436555,0.002565485421060923,0.009774783359904126,0.17498646670809334,-0.00939030914655976,-2442.3768410572325,-0.5624536247385076,0.5742771483466269,8635.5,0.5834714208968004,-0.07588287137944609,0.07588287137944609,False,False,0.17239878080791948,0.20703135652511417
curvature_mean_session_std_std,0.11636337381764619,0.07219611798349389,0.10950209597655655,0.06650635514272273,0.006861277841089641,5.896423948520086,0.7988513768568898,0.4250946836123355,8887.0,0.5927926464634032,0.09885205433255545,0.09885205433255545,False,False,0.14262785080421023,0.20449138303526426
jerk_score_session_max_first_last_diff,-14138.755671105462,118057.27116706953,3997.7245396600674,126271.26523723402,-18136.48021076553,128.27493898794773,-1.1905126191936268,0.23489841355578023,8494.0,0.6279779667586509,-0.1483759540510456,0.1483759540510456,False,False,0.10919910107956267,0.20371672191669177
path_efficiency_session_std_trend,-0.001959210112934573,0.03948773401089911,-0.0037915411455971635,0.05856428379328257,0.0018323310326625905,-93.52396767277101,0.285486849336118,0.7754950357820614,9008.0,0.48903100845220426,0.03668679093226352,0.03668679093226352,False,False,0.11299352693524281,0.20186347191781695
session_duration_first_last_diff,-13.58743778090916,31.23489147333648,-11.106796684562454,35.08343898550598,-2.480641096346707,18.256871798390844,-0.5965795755436151,0.5512917079278385,8414.0,0.5408895247306256,-0.07468446922796698,0.07468446922796698,False,False,0.10971628145880699,0.2005218147096412
num_palm_touches_max,0.7,1.2528865753300265,0.9263803680981595,1.758781432137593,-0.22638036809815953,-32.34005258545136,-1.164870436868698,0.24509579876365073,8641.0,0.5628876108079005,-0.14825840844517985,0.14825840844517985,False,False,0.028767690156967066,0.19906738718279188
direction_changes_session_mean_trend,-0.5650655927091777,8.094602504043467,0.45773320946691887,7.068108137128441,-1.0227988021760965,181.005323164757,-1.0990256521805686,0.27274687811428877,8401.0,0.5839863868047348,-0.13460166283732225,0.13460166283732225,False,False,0.06438167118239743,0.1979592504482277
finger_switch_rate_first_last_diff,0.0005566380238457574,0.0073406147411109405,0.003405609056709899,0.02247925466904918,-0.0028489710328641416,-511.81753865481204,-1.282415832110594,0.20080492776407777,8715.5,0.8940003654809887,-0.17038009717428176,0.17038009717428176,False,False,0.31891425930144957,0.19562620701585096
velocity_cv_session_max_min,1.8397925748424375,0.8473557381085987,1.8227909948492418,0.9864344929727202,0.017001579993195737,0.9241030877979154,0.1476796798128275,0.8827053838199739,9329.5,0.5694290756314304,0.01848945720817904,0.01848945720817904,False,False,0.19339047406355375,0.1945842024129086
acceleration_std_session_min_trend,36.97231148664239,428.1812833181585,216.31656835536768,1762.4594239717026,-179.3442568687253,-485.077209558618,-1.0456793661706079,0.2966513071131849,8672.0,0.6976577819803316,-0.1398397904875487,0.1398397904875487,False,False,0.1471135756996681,0.1907726543108204
zones_revisited_std,0.8781258083967147,0.2890829007886472,0.9063434987409713,0.5276774305393136,-0.028217690344256585,-3.2133995008957257,-0.5112670090589835,0.6095803937969151,8763.0,0.7449002041876382,-0.06632461554571603,0.06632461554571603,False,False,0.2910572072765202,0.190376947144951
velocity_cv_session_min_first_last_diff,0.005219465318102398,0.0547422140834303,0.017839010698167547,0.5413239759304621,-0.012619545380065149,-241.77850816054743,-0.243507699147883,0.8077984103245994,8657.0,0.5913524166114348,-0.03280137507069149,0.03280137507069149,False,False,0.1652968826951487,0.18530388985339075
acceleration_std_session_std_trend,-1583.973221468993,17750.67712952311,1583.160928249503,19948.954006908945,-3167.134149718496,199.94871799545092,-1.3337870897383854,0.1834231809561881,8484.0,0.8771730847597649,-0.16773445645051047,0.16773445645051047,False,False,0.2517229941394375,0.17945875539410597
pressure_std_session_mean_min,0.012484532366799507,0.01153445203659964,0.014740569892803663,0.023559117123380838,-0.002256037526004156,-18.070661036561564,-0.9314387815370619,0.35245566829126995,9146.0,0.7778671734416733,-0.12163071047176469,0.12163071047176469,False,False,0.2099585617647508,0.1782797006856291
total_area_covered_first_last_diff,-361044.63581043977,998053.102789151,-458684.6282540872,2470714.337899038,97639.99244364741,-27.043745498246814,0.3928462308623474,0.6947453442662657,8971.0,0.786820285764458,0.051819959131001694,0.051819959131001694,False,False,0.3116061114283192,0.17816373135155905
max_finger_id_first_last_diff,-0.5727272727272728,3.9409845808150346,-0.125,6.418085688067047,-0.44772727272727275,78.17460317460318,-0.651820591609611,0.5150755108536311,9071.5,0.661128222436154,-0.08407139418704089,0.08407139418704089,False,False,0.1349611678995192,0.17577844131382592
pressure_mean_session_max_trend,-0.002999938866533909,0.023655966119689373,0.02455165235066715,0.22035132666504464,-0.027551591217201056,918.4050890021574,-1.3054654295221675,0.19285400359087554,8614.0,0.7685787384020011,-0.1758156991829428,0.1758156991829428,False,False,0.11786934797761592,0.17511346254586158
acceleration_std_session_std_first_last_diff,-2977.956666817302,35529.78204311368,3524.6557363935863,36989.69702152952,-6502.612403210888,218.35819425003825,-1.4386705620934843,0.15141945447126237,8667.0,0.9712446849160357,-0.17929789972473964,0.17929789972473964,False,False,0.3044797690374029,0.17168968512630603
num_palm_touches_mean,0.3265151515151515,0.6493480438342156,0.45394390885188424,1.0128203272460983,-0.12742875733673276,-39.02690479918498,-1.1672101141783706,0.244151514768034,8736.5,0.6848763234136268,-0.1497888462866019,0.1497888462866019,False,False,0.04675149498179598,0.1684780899850915
progress_slope_min,0.793885396204283,0.30563783307460646,0.8511641952087969,0.5496855805605868,-0.057278799004513936,-7.214995927419092,-0.9937545977618589,0.32122882651729495,9118.0,0.8116176607880895,-0.12879468129677907,0.12879468129677907,False,False,0.1911632151158701,0.16538153881704581
avg_plateau_length_std,3.1309246576664784,1.9700104648087957,3.0953264693776177,2.2976600682428807,0.035598188288860744,1.1369864235376577,0.13283478070716714,0.8944226258815742,9246.0,0.6611052919311888,0.016633774830069382,0.016633774830069382,False,False,0.1893478823766375,0.16512628706566235
jerk_score_session_max_trend,-7607.063619480599,59106.065874044754,-731.987550529129,70838.1183589831,-6875.07606895147,90.37752821397977,-0.8369983388263443,0.40333923445397246,8594.0,0.7444562313721745,-0.10538717648825076,0.10538717648825076,False,False,0.15128091651430714,0.16420227613794008
multitouch_used_mean,0.8939393939393939,0.23432214328456533,0.8941717791411042,0.21179659456722127,-0.00023238520171031674,-0.02599563273369645,-0.00851656190847822,0.9932111148739978,9229.5,0.5776611128219599,-0.0010404832513915222,0.0010404832513915222,False,False,0.12092463001124033,0.16339524845734074
velocity_cv_session_mean_first_last_diff,-0.01273566961727744,0.2119942336849998,0.0004227430242232502,0.5817963665559515,-0.01315841264150069,103.31936236513037,-0.22696531066530656,0.820623746690448,9091.0,0.6449548077715983,-0.03005219969216953,0.03005219969216953,False,False,0.14897144169268195,0.16322587005319292
tremor_ratio_session_min_trend,0.0024955368931035954,0.0075837422609839325,0.0035280149415411522,0.01218143682142507,-0.0010324780484375568,-41.372982755366394,-0.7896949771126385,0.4304040510867706,8501.0,0.6358767229871207,-0.10175765067165128,0.10175765067165128,False,False,0.039876950228456456,0.16190312844106122
num_pauses_trend,-0.1399999999999999,0.860360496237617,-0.0811769991015273,1.036192264024172,-0.0588230008984726,42.01642921319475,-0.4898545013136533,0.6246391020589475,8548.0,0.7538018312181903,-0.061766608729827484,0.061766608729827484,False,False,0.21056174585668413,0.16173461788347915
device_stability_session_mean_min,174.2074159317059,182.61772610942973,172.1554351795547,159.72298234990973,2.051980752151195,1.1778951780994373,0.09822327805601977,0.9218276088024275,8654.0,0.6274821719862662,0.011961226061751705,0.011961226061751705,False,False,0.1412808845146719,0.1589241041832224
device_stability_session_mean_first_last_diff,-0.9072488108321026,80.07575579981244,-1.0033939978700772,120.93606371906455,0.09614518703797459,-10.597444261160616,0.00730720218686692,0.9941751843898026,8457.0,0.5869486563158511,0.0009374407957480739,0.0009374407957480739,False,False,0.11469219777863529,0.15869803875713445
potential_palm_touches_first_last_diff,-3.209090909090909,26.834557842059098,-9.78125,107.13758108827426,6.572159090909091,-204.79815864022663,0.6296018567265291,0.5294914704941516,8611.5,0.7203109151184233,0.08415285900502328,0.08415285900502328,False,False,0.13121515091918518,0.15693241434223787
multitouch_used_max,0.9727272727272728,0.16362246257329335,0.9815950920245399,0.13482465237983496,-0.008867819297267099,-0.9116449744854026,-0.4885978741862008,0.6255215601403417,8885.5,0.6268212571144601,-0.059151668362075485,0.059151668362075485,False,False,0.0703062522380418,0.1567061658819047
velocity_cv_session_mean_trend,-0.0071669897516181665,0.10571899237365687,0.017699642678731985,0.3478928887346327,-0.02486663243035015,346.960624922559,-0.7265836064140152,0.46811520447423194,8963.0,0.7965978693035766,-0.0967178076234648,0.0967178076234648,False,False,0.18276700994325978,0.15453786524129087
